idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T17,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,34,12,6,2830.0,76.0,109.0,37.0
T17,2,Luis Suárez,Delantero centro,Uruguay,FC Barcelona,C11,35,15,0,2856.0,102.0,80.0,28.0
T17,3,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,29,6,6,2539.0,102.0,86.0,25.0
T17,4,Iago Aspas,Delantero centro,España,RC Celta,C19,32,4,6,2316.0,122.0,59.0,19.0
T17,5,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,36,8,0,3053.0,191.0,44.0,16.0
T17,6,Aritz Aduriz,Delantero centro,España,Athletic,C2,32,3,5,2428.0,152.0,50.0,16.0
T17,7,Álvaro Morata,Delantero centro,España,Real Madrid,C26,26,5,0,1334.0,89.0,58.0,15.0
T17,8,Sandro Ramírez,Delantero centro,España,Málaga CF,C18,30,5,0,2303.0,165.0,47.0,14.0
T17,9,Neymar,Extremo izquierdo,Brasil,FC Barcelona,C11,30,14,1,2651.0,204.0,43.0,13.0
T17,10,Gerard Moreno,Delantero centro,España,RCD Espanyol,C21,37,4,0,3276.0,252.0,35.0,13.0
T18,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,36,14,2,3000.0,88.0,94.0,34.0
T18,2,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,27,5,3,2291.0,88.0,96.0,26.0
T18,3,Luis Suárez,Delantero centro,Uruguay,FC Barcelona,C11,33,13,1,2900.0,116.0,76.0,25.0
T18,4,Iago Aspas,Delantero centro,España,RC Celta,C19,34,5,2,2936.0,133.0,65.0,22.0
T18,5,Cristhian Stuani,Delantero centro,Uruguay,Girona FC,C14,33,0,5,2713.0,129.0,64.0,21.0
T18,6,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,32,9,2,2520.0,133.0,59.0,19.0
T18,7,Maxi Gómez,Delantero centro,Uruguay,RC Celta,C19,36,5,0,3068.0,170.0,50.0,18.0
T18,8,Rodrigo,Delantero centro,España,Valencia CF,C39,37,7,1,2683.0,168.0,43.0,16.0
T18,9,Gareth Bale,Extremo derecho,Gales,Real Madrid,C26,26,3,1,1798.0,112.0,62.0,16.0
T18,10,Gerard Moreno,Delantero centro,España,RCD Espanyol,C21,38,1,1,3412.0,213.0,42.0,16.0
T19,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,34,14,4,2713.0,75.0,106.0,36.0
T19,2,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,36,7,3,2954.0,141.0,58.0,21.0
T19,3,Iago Aspas,Delantero centro,España,RC Celta,C19,27,6,5,2251.0,113.0,74.0,20.0
T19,4,Luis Suárez,Delantero centro,Uruguay,FC Barcelona,C11,33,8,4,2827.0,149.0,58.0,19.0
T19,5,Cristhian Stuani,Delantero centro,Uruguay,Girona FC,C14,32,0,5,2729.0,144.0,59.0,19.0
T19,6,Wissam Ben Yedder,Delantero centro,Francia,Sevilla FC,C36,35,9,2,2812.0,156.0,51.0,18.0
T19,7,Borja Iglesias,Delantero centro,España,RCD Espanyol,C21,37,3,3,3075.0,181.0,46.0,17.0
T19,8,Antoine Griezmann,Delantero centro,Francia,Atlético Madrid,C3,37,8,3,3198.0,213.0,41.0,15.0
T19,9,Jaime Mata,Delantero centro,España,Getafe CF,C12,34,6,4,2434.0,174.0,41.0,14.0
T19,10,Jorge Molina,Delantero centro,España,Getafe CF,C12,38,5,2,2647.0,189.0,37.0,14.0
T20,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,33,22,5,2880.0,115.0,76.0,25.0
T20,2,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,37,8,5,3142.0,150.0,57.0,21.0
T20,3,Gerard Moreno,Delantero centro,España,Villarreal CF,C40,35,6,1,2742.0,152.0,51.0,18.0
T20,4,Luis Suárez,Delantero centro,Uruguay,FC Barcelona,C11,28,8,1,1998.0,125.0,57.0,16.0
T20,5,Raúl García,Mediocentro ofensivo,España,Athletic,C2,35,1,7,2869.0,191.0,43.0,15.0
T20,6,Iago Aspas,Delantero centro,España,RC Celta,C19,37,3,5,3262.0,233.0,38.0,14.0
T20,7,Lucas Ocampos,Extremo izquierdo,Argentina,Sevilla FC,C36,33,3,5,2745.0,196.0,42.0,14.0
T20,8,Ante Budimir,Delantero centro,Croacia,RCD Mallorca,C22,35,3,2,2765.0,213.0,37.0,13.0
T20,9,Álvaro Morata,Delantero centro,España,Atlético Madrid,C3,34,2,2,2101.0,175.0,35.0,12.0
T20,10,Santi Cazorla,Mediocentro,España,Villarreal CF,C40,35,10,8,2449.0,223.0,31.0,11.0
T21,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,35,11,3,3023.0,101.0,86.0,30.0
T21,2,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,34,9,1,2894.0,126.0,68.0,23.0
T21,3,Gerard Moreno,Delantero centro,España,Villarreal CF,C40,33,7,10,2673.0,116.0,70.0,23.0
T21,4,Luis Suárez,Delantero centro,Uruguay,Atlético Madrid,C3,32,3,3,2507.0,119.0,66.0,21.0
T21,5,Youssef En-Nesyri,Delantero centro,Marruecos,Sevilla FC,C36,38,0,0,2311.0,128.0,47.0,18.0
T21,6,Alexander Isak,Delantero centro,Suecia,Real Sociedad,C29,34,2,0,2337.0,137.0,50.0,17.0
T21,7,Iago Aspas,Delantero centro,España,RC Celta,C19,33,13,5,2863.0,205.0,42.0,14.0
T21,8,Antoine Griezmann,Delantero centro,Francia,FC Barcelona,C11,36,8,1,2603.0,200.0,36.0,13.0
T21,9,José Luis Morales,Delantero centro,España,Levante UD,C17,38,4,0,2438.0,188.0,34.0,13.0
T21,10,Rafa Mir,Delantero centro,España,SD Huesca,C35,38,1,2,2877.0,221.0,34.0,13.0
T22,1,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,32,12,7,2592.0,96.0,84.0,27.0
T22,2,Vinicius Junior,Extremo izquierdo,Brasil,Real Madrid,C26,35,11,0,2689.0,158.0,49.0,17.0
T22,3,Iago Aspas,Delantero centro,España,RC Celta,C19,37,7,3,3086.0,182.0,46.0,17.0
T22,4,Raúl de Tomás,Delantero centro,España,RCD Espanyol,C21,34,3,5,2916.0,172.0,50.0,17.0
T22,5,Juanmi,Extremo izquierdo,España,Real Betis,C25,33,5,0,2131.0,133.0,48.0,16.0
T22,6,Enes Ünal,Delantero centro,Turquía,Getafe CF,C12,37,1,2,2798.0,175.0,43.0,16.0
T22,7,Joselu,Delantero centro,España,Alavés,C0,37,5,6,3122.0,223.0,38.0,14.0
T22,8,José Luis Morales,Delantero centro,España,Levante UD,C17,35,7,3,2719.0,209.0,37.0,13.0
T22,9,Ángel Correa,Extremo derecho,Argentina,Atlético Madrid,C3,36,5,0,1857.0,155.0,33.0,12.0
T22,10,Memphis Depay,Delantero centro,Países Bajos,FC Barcelona,C11,28,2,4,1851.0,154.0,43.0,12.0
T23,1,Robert Lewandowski,Delantero centro,Polonia,FC Barcelona,C11,34,7,0,2848.0,124.0,68.0,23.0
T23,2,Karim Benzema,Delantero centro,Francia,Real Madrid,C26,24,3,7,2038.0,107.0,79.0,19.0
T23,3,Joselu,Delantero centro,España,RCD Espanyol,C21,34,2,5,2990.0,187.0,47.0,16.0
