idTemporada,#,club,idClub,partidos,ganados,empatados,perdidos,golesAFavor,golesEnContra,+/-,porcentajeVictorias,porcentajeDerrotas,puntos
T12,15,Rayo Vallecano,C24,38,13,4,21,53,73,-20,34.21052631578947,55.26315789473685,43
T12,16,Real Zaragoza,C32,38,12,7,19,36,61,-25,31.57894736842105,50.0,43
T12,17,Granada CF,C15,38,12,6,20,35,56,-21,31.57894736842105,52.63157894736842,42
T12,18,Villarreal CF,C40,38,9,14,15,39,53,-14,23.684210526315788,39.473684210526315,41
T12,19,Real Sporting,C30,38,10,7,21,42,69,-27,26.31578947368421,55.26315789473685,37
T12,20,Racing,C23,38,4,15,19,28,63,-35,10.526315789473683,50.0,27
T13,1,FC Barcelona,C11,38,32,4,2,115,40,75,84.21052631578947,5.263157894736842,100
T13,2,Real Madrid,C26,38,26,7,5,103,42,61,68.42105263157895,13.157894736842104,85
T13,3,Atlético Madrid,C3,38,23,7,8,65,31,34,60.526315789473685,21.052631578947366,76
T13,4,Real Sociedad,C29,38,18,12,8,70,49,21,47.368421052631575,21.052631578947366,66
T13,5,Valencia CF,C39,38,19,8,11,67,54,13,50.0,28.947368421052634,65
T13,6,Málaga CF,C18,38,16,9,13,53,50,3,42.10526315789473,34.21052631578947,57
T13,7,Real Betis,C25,38,16,8,14,57,56,1,42.10526315789473,36.84210526315789,56
T13,8,Rayo Vallecano,C24,38,16,5,17,50,66,-16,42.10526315789473,44.73684210526316,53
T13,9,Sevilla FC,C36,38,14,8,16,58,54,4,36.84210526315789,42.10526315789473,50
T13,10,Getafe CF,C12,38,13,8,17,43,57,-14,34.21052631578947,44.73684210526316,47
T13,11,Levante UD,C17,38,12,10,16,40,57,-17,31.57894736842105,42.10526315789473,46
T13,12,Athletic,C2,38,12,9,17,44,65,-21,31.57894736842105,44.73684210526316,45
T13,13,RCD Espanyol,C21,38,11,11,16,43,52,-9,28.947368421052634,42.10526315789473,44
T13,14,Real Valladolid,C31,38,11,10,17,49,58,-9,28.947368421052634,44.73684210526316,43
T13,15,Granada CF,C15,38,11,9,18,37,54,-17,28.947368421052634,47.368421052631575,42
T13,16,CA Osasuna,C4,38,10,9,19,33,50,-17,26.31578947368421,50.0,39
T13,17,RC Celta,C19,38,10,7,21,37,52,-15,26.31578947368421,55.26315789473685,37
T13,18,RCD Mallorca,C22,38,9,9,20,43,72,-29,23.684210526315788,52.63157894736842,36
T13,19,RC Deportivo,C20,38,8,11,19,47,70,-23,21.052631578947366,50.0,35
T13,20,Real Zaragoza,C32,38,9,7,22,37,62,-25,23.684210526315788,57.89473684210527,34
T14,1,Atlético Madrid,C3,38,28,6,4,77,26,51,73.68421052631578,10.526315789473683,90
T14,2,FC Barcelona,C11,38,27,6,5,100,33,67,71.05263157894737,13.157894736842104,87
T14,3,Real Madrid,C26,38,27,6,5,104,38,66,71.05263157894737,13.157894736842104,87
T14,4,Athletic,C2,38,20,10,8,66,39,27,52.63157894736842,21.052631578947366,70
